ItemID,Period,Category,SubCategory,Type,SubType
2PK7WQE74,SunnySeason,xF4EZaTy,AunzRwr2,y8bLFu-k,jTKonldJ
-o036Co77,SunnySeason,HZlnatsW,yo2ZtUyf,S0dh3b7U,oT7MJnDF
IV4Z7Oo85,SunnySeason,xF4EZaTy,AunzRwr2,vDXSfxVP,wY04gZ3u
c_79YGk67,SunnySeason,4ThiCT_Z,WeHSHJQJ,SLDYtrca,68qwu2Mq
oIrztTw79,SunnySeason,xF4EZaTy,AunzRwr2,vDXSfxVP,wY04gZ3u
nLhN05A20,SunnySeason,bwPDJC3m,xdDed-iG,gHgb_LJK,K6tnVHcT
PN3g_H037,SunnySeason,4ThiCT_Z,Mm5PoR88,rXEQe8Am,oE0bXRZ8
ke4hP9k50,SunnySeason,xF4EZaTy,AunzRwr2,diTsv6Um,Y_Awc_Us
XebtiUQ79,SunnySeason,4ThiCT_Z,Mm5PoR88,Z9P2fsUr,go3tLx3Z
FZxDzHg73,SunnySeason,4ThiCT_Z,Mm5PoR88,9YFl_mbA,AXZQGuOr
6WScQKo38,SunnySeason,HZlnatsW,14iCK1vp,ijxf6VbP,-md27zSu
HhbZCBI49,SunnySeason,4ThiCT_Z,WeHSHJQJ,SLDYtrca,Zn5KX5e2
nbNDbpg64,SunnySeason,HZlnatsW,14iCK1vp,ijxf6VbP,gjL35bp5
lDjHwcE13,SunnySeason,4ThiCT_Z,Mm5PoR88,HffbIvfF,f3ngbFLd
gBira5823,SunnySeason,HZlnatsW,OzTP0IWS,S_wcKlll,mEZk4CnZ
dn0kJU058,SunnySeason,xF4EZaTy,AunzRwr2,vDXSfxVP,wY04gZ3u
8XCgACI41,SunnySeason,HZlnatsW,OzTP0IWS,S_wcKlll,oT7MJnDF
gLooX1Q39,SunnySeason,H80alU8y,FmJGmCjH,feZ7LCKZ,uMm7Lmw4
r_8X-uQ13,SunnySeason,4ThiCT_Z,Mm5PoR88,rXEQe8Am,oE0bXRZ8
LLYlc3Y71,SunnySeason,HZlnatsW,yo2ZtUyf,3DwxAq8J,83xOyT1Z
E0TeyX091,SunnySeason,4ThiCT_Z,Mm5PoR88,Z9P2fsUr,xw76JQCB
Nh97G0w58,SunnySeason,HZlnatsW,14iCK1vp,VXU0TYBT,C_k1sRf5
f18410g73,SunnySeason,HZlnatsW,RcnpW_uQ,hM1VxB-Q,oXl5us7E
GBTwgkc58,SunnySeason,HZlnatsW,yo2ZtUyf,3DwxAq8J,_Eq-7S2w
llA6BMs69,SunnySeason,bwPDJC3m,xdDed-iG,gHgb_LJK,K6tnVHcT
lzYVW1k91,SunnySeason,bwPDJC3m,xdDed-iG,d_1sozrl,nPUlJNrW
lW750qo37,SunnySeason,HZlnatsW,14iCK1vp,VXU0TYBT,C_k1sRf5
DsSa3S077,SunnySeason,HZlnatsW,yo2ZtUyf,S0dh3b7U,54cQUB9Y
JaJpTRk18,SunnySeason,xF4EZaTy,AunzRwr2,diTsv6Um,4hfTawSl
uF5NhKo66,SunnySeason,xF4EZaTy,sldfL1J4,q2Xxsm4v,Xai30W4I
8aU8wC052,SunnySeason,4ThiCT_Z,Mm5PoR88,Z9P2fsUr,JkiGVwMN
N63dkXY84,SunnySeason,4ThiCT_Z,WeHSHJQJ,SLDYtrca,OKEA00kr
lUSX16U76,SunnySeason,xF4EZaTy,UIpuKoxR,g7iZYd5K,o2J9VwnS
