ItemID,year,WeekIdentifier,SalesChannel,Territory,BasePrice,PrevBasePrice,NewBasePrice
GKuS9uU17,2019,3,Stores,AXX,19.194,19.194,15.142999999999999
GKuS9uU17,2019,9,Stores,AXX,19.194,15.142999999999999,13.793
tzEmh1862,2019,7,Stores,AXX,28.405,28.405,22.103
ngEQp8U85,2018,41,E-commerce,AXX,16.083,16.982999999999997,16.083
PIw0h-I34,2018,17,E-commerce,AXX,20.753,20.753,18.503
PIw0h-I34,2018,17,Stores,AXX,20.753,20.753,18.503
PIw0h-I34,2018,19,E-commerce,AXX,20.753,18.503,17.152
PIw0h-I34,2018,19,Stores,AXX,20.753,18.503,17.152
Lr2tkaU96,2018,19,Stores,AXX,19.347,19.347,18.222
Lr2tkaU96,2018,23,Stores,AXX,19.347,18.222,19.122
Lr2tkaU96,2018,24,Stores,AXX,19.347,19.122,18.222
OO0HQ7M69,2018,7,Stores,AXX,18.802999999999997,18.802999999999997,17.903
OO0HQ7M69,2018,10,Stores,YXX,18.802999999999997,18.802999999999997,17.677999999999997
OO0HQ7M69,2018,19,E-commerce,AXX,18.802999999999997,18.802999999999997,17.901999999999997
OO0HQ7M69,2018,19,Stores,YXX,18.802999999999997,17.677999999999997,16.551999999999996
OO0HQ7M69,2018,19,Stores,AXX,18.802999999999997,17.903,17.002
OO0HQ7M69,2018,33,E-commerce,AXX,18.802999999999997,17.001999999999995,16.101999999999997
OO0HQ7M69,2018,33,Stores,YXX,18.802999999999997,16.551999999999996,15.426999999999996
OO0HQ7M69,2018,33,Stores,AXX,18.802999999999997,17.001999999999995,16.101999999999997
OO0HQ7M69,2018,46,Stores,YXX,18.802999999999997,15.426999999999996,14.580999999999996
OO0HQ7M69,2018,46,Stores,AXX,18.802999999999997,16.101999999999997,15.426999999999998
OO0HQ7M69,2018,51,E-commerce,AXX,18.802999999999997,16.101999999999997,15.426999999999998
3Tb76io56,2018,7,Stores,AXX,23.584,23.584,19.983
3Tb76io56,2018,12,Stores,AXX,23.584,19.983,19.083
3Tb76io56,2018,16,Stores,AXX,23.584,19.083,17.732
3Tb76io56,2018,46,Stores,AXX,23.584,17.732,15.5
chALSVo81,2018,16,E-commerce,AXX,24.103,24.103,22.753
chALSVo81,2018,17,Stores,YXX,24.103,24.103,21.178
chALSVo81,2018,17,Stores,AXX,24.103,24.103,21.852
chALSVo81,2018,18,E-commerce,AXX,24.103,22.753,21.852
chALSVo81,2018,19,E-commerce,AXX,24.103,21.852,20.952
chALSVo81,2018,19,Stores,YXX,24.103,21.178,20.007
chALSVo81,2018,19,Stores,AXX,24.103,21.852,20.952
chALSVo81,2018,20,E-commerce,AXX,24.103,20.952,22.753
chALSVo81,2018,22,E-commerce,AXX,24.103,22.753,20.952
chALSVo81,2018,23,E-commerce,AXX,24.103,20.952,21.852
chALSVo81,2018,23,Stores,YXX,24.103,20.007,21.178
chALSVo81,2018,23,Stores,AXX,24.103,20.952,21.852
chALSVo81,2018,24,E-commerce,AXX,24.103,21.852,20.952
chALSVo81,2018,24,Stores,YXX,24.103,21.178,20.007
chALSVo81,2018,24,Stores,AXX,24.103,21.852,20.952
chALSVo81,2018,27,E-commerce,AXX,24.103,20.952,22.753
chALSVo81,2018,28,E-commerce,AXX,24.103,22.753,20.952
K6FRtjk40,2018,19,Stores,YXX,21.712999999999997,21.712999999999997,17.324999999999996
K6FRtjk40,2018,19,Stores,AXX,21.712999999999997,21.712999999999997,18.336999999999996
K6FRtjk40,2018,21,E-commerce,AXX,21.712999999999997,21.712999999999997,19.686999999999998
