ItemID,year,WeekIdentifier,SalesChannel,Territory,NewBasePrice,TotalInventory,StoreInventory,WarehouseInventory,StockedStorePercentage,SellingStoresRatio,InboundInventory,SalesQuantity,ProjectedInventory
XebtiUQ79,2018,2,Stores,AXX,14.372999999999998,43,9,34,0.187,0.0748,0,4,0
bjbkqqM42,2018,2,E-commerce,AXX,15.753000000000002,6,0,6,0.0989,0.0859,0,3,0
1d_OHvY71,2018,2,Stores,YXX,14.912999999999998,4,4,0,0.039,0.021,0,0,0
sC6CR9s11,2018,2,Stores,YXX,15.722000000000001,7,0,7,0.046,0.0929,0,3,0
bjtzCho93,2018,2,E-commerce,AXX,21.383,7,2,5,0.0149,0.0639,0,4,0
aaW5Dc896,2018,2,E-commerce,AXX,23.204,8,4,4,0.061900000000000004,0.1039,0,5,0
Z169KsU12,2018,2,Stores,AXX,21.592,5,3,2,0.082,0.0109,0,6,0
PGK-GsQ43,2018,2,Stores,YXX,20.080000000000005,7,2,5,0.0867,0.051,0,3,0
bjbkqqM42,2018,2,Stores,YXX,15.753000000000002,8,2,6,0.1003,0.068,0,4,0
PGK-GsQ43,2018,2,E-commerce,AXX,20.080000000000005,8,3,5,0.0309,0.0649,0,2,0
oRAankI44,2018,2,Stores,AXX,19.442,45,21,24,0.3647,0.0535,0,5,0
JoQ7vPE66,2018,2,Stores,AXX,19.714999999999996,245,53,192,0.61405,0.1096,61,7,135
mGOdPGw17,2018,2,Stores,AXX,14.532,15,4,11,0.3442,0.0218,12,2,0
U6Od7aY76,2018,2,Stores,YXX,24.478,9,6,3,0.0642,0.073,0,3,0
CCuyJXo47,2018,2,Stores,AXX,13.289,184,53,131,0.68375,0.18460000000000001,0,35,92
CCuyJXo47,2018,2,Stores,YXX,13.289,7,5,2,0.0996,0.052,0,1,0
CCuyJXo47,2018,2,E-commerce,AXX,13.289,12,0,12,0.0409,0.0439,0,5,0
3jHlU6w33,2018,2,E-commerce,AXX,25.613,7,3,4,0.0849,0.0199,4,2,2
dQRrOcs21,2018,2,E-commerce,AXX,14.803,12,1,11,0.0899,0.0079,0,4,0
bjbkqqM42,2018,2,Stores,AXX,15.753000000000002,38,20,18,0.5385,0.1074,0,5,0
E9ryGxE18,2018,2,Stores,AXX,19.101999999999997,41,7,34,0.1703,0.0257,11,6,0
9O8RTHY72,2018,2,Stores,AXX,14.743,163,49,114,0.7592,0.3701,0,129,0
9O8RTHY72,2018,2,Stores,YXX,14.743,10,7,3,0.1599,0.0888,0,5,0
9O8RTHY72,2018,2,E-commerce,AXX,14.743,6,4,2,0.0089,0.0369,0,8,0
tqRVQnc11,2018,2,Stores,AXX,31.285,4,2,2,0.021,0.0549,0,6,0
XgGS-Gw29,2018,2,Stores,YXX,18.007000000000005,5,5,0,0.1172,0.0787,0,9,0
XgGS-Gw29,2018,2,E-commerce,AXX,18.007000000000005,8,4,4,0.0579,0.0529,0,8,0
EyOuFLQ88,2018,2,Stores,AXX,21.803,30,9,21,0.686,0.1058,21,6,0
rX406Qs15,2018,2,Stores,YXX,18.323,8,5,3,0.030699999999999998,0.009,0,4,0
Z_RUZOk26,2018,2,Stores,YXX,14.137000000000002,5,5,0,0.0953,0.0589,0,3,0
S-Zd--o39,2018,2,Stores,AXX,16.641,146,28,118,0.9501000000000001,0.1301,26,4,73
-5Wye2w71,2018,2,E-commerce,AXX,18.563,8,3,5,0.0079,0.0799,0,6,0
FWsr2ZE11,2018,2,Stores,AXX,15.903,8,5,3,0.2495,0.14300000000000002,0,8,0
Fr3MLuI86,2018,2,Stores,YXX,20.503,7,7,0,0.08960000000000001,0.0204,0,7,0
O3nnJHE47,2018,2,Stores,YXX,17.235,7,4,3,0.0672,0.0518,0,5,0
J0vg7Tw34,2018,2,Stores,AXX,17.945,37,20,17,0.4992,0.10389999999999999,0,10,17
vetlhJU57,2018,2,E-commerce,AXX,17.008000000000003,9,1,8,0.0259,0.0109,0,6,0
VpylCPs88,2018,2,Stores,AXX,19.313,23,4,19,0.1813,0.1009,5,2,11
2kYhNMY10,2018,2,Stores,YXX,20.270000000000003,8,4,4,0.2064,0.0728,0,3,0
3qXlQhc28,2018,2,E-commerce,AXX,20.723,4,2,2,0.0279,0.0159,0,7,0
-R40flg54,2018,2,E-commerce,AXX,26.583000000000002,6,0,6,0.0199,0.0089,0,3,0
zAiVNcI37,2018,2,Stores,AXX,15.572000000000003,63,21,42,0.2892,0.0645,27,8,0
U5O7TuQ23,2018,2,Stores,AXX,16.813,192,45,147,0.9215000000000001,0.1527,79,30,0
U5O7TuQ23,2018,2,Stores,YXX,16.813,6,2,4,0.12290000000000001,0.0519,0,5,0
U5O7TuQ23,2018,2,E-commerce,AXX,16.813,9,2,7,0.0959,0.0139,0,3,0
AFv2dWk89,2018,2,Stores,AXX,16.616999999999997,87,34,53,1.0132,0.1713,27,15,20
UTGzbT076,2018,2,Stores,YXX,19.362,5,0,5,0.059,0.014,0,4,0
qipBMZo84,2018,2,Stores,AXX,18.659,200,54,146,0.9068999999999999,0.0364,74,5,71
QxITX0E23,2018,2,Stores,AXX,19.571999999999996,8,5,3,0.0774,0.017,0,2,0
arqBIlY23,2018,2,Stores,AXX,16.798000000000002,26,11,15,0.3462,0.0849,0,6,11
lBhHOTk43,2018,2,Stores,YXX,21.612,16,13,3,0.3085,0.1271,0,10,0
JEO5Tdk94,2018,2,Stores,YXX,24.281,7,6,1,0.060899999999999996,0.074,0,4,0
uuDgKao91,2018,2,Stores,AXX,14.657999999999998,121,10,111,0.25730000000000003,0.115,0,11,103
YAMo2k069,2018,2,Stores,AXX,21.923000000000002,9,6,3,0.07028,0.0564,0,10,0
1P61FwU29,2018,2,Stores,AXX,21.844,12,6,6,0.1442,0.0189,10,1,0
kHksQbM68,2018,2,Stores,YXX,19.268,6,3,3,0.247,0.1389,0,7,0
-R40flg54,2018,2,Stores,YXX,26.583000000000002,4,1,3,0.1201,0.016,0,0,0
ABcsSqo12,2018,2,Stores,AXX,16.831999999999997,93,9,84,0.17509999999999998,0.055,29,2,44
AAp6ICE84,2018,2,E-commerce,AXX,18.843,12,1,11,0.028900000000000002,0.0969,0,3,0
gKS8PzM77,2018,2,Stores,AXX,15.912999999999997,217,3,214,0.1294,0.0488,103,2,40
g17-G3E54,2018,2,E-commerce,AXX,15.633,5,0,5,0.0609,0.0719,0,1,0
U8aZiCo48,2018,2,Stores,AXX,17.421999999999997,39,5,34,0.3502,0.0998,10,5,17
oF4__0s73,2018,2,Stores,AXX,21.213,16,8,8,0.2824,0.043000000000000003,0,8,0
g8_qmSM87,2018,2,Stores,YXX,21.593000000000004,14,11,3,0.1629,0.0999,0,7,0
Zf0fH0U72,2018,2,Stores,AXX,24.213,4,3,1,0.099,0.0669,0,1,0
O4Iu-sI69,2018,2,Stores,AXX,18.503,310,99,211,0.7171500000000001,0.07100000000000001,3,22,152
dYKt3Wk33,2018,2,Stores,AXX,21.083000000000002,94,46,48,1.0056,0.2044,8,38,0
dYKt3Wk33,2018,2,Stores,YXX,21.083000000000002,5,3,2,0.08,0.0999,0,4,0
dYKt3Wk33,2018,2,E-commerce,AXX,21.083000000000002,7,2,5,0.0919,0.0509,0,6,0
Zf0fH0U72,2018,2,E-commerce,AXX,24.213,17,2,15,0.0269,0.0189,15,3,0
y9ZBzPE41,2018,2,Stores,YXX,16.733,15,10,5,0.2576,0.08610000000000001,0,18,0
J8uCtyM24,2018,2,Stores,YXX,21.383,11,4,7,0.1614,0.1028,0,4,0
J8uCtyM24,2018,2,E-commerce,AXX,21.383,7,1,6,0.1039,0.0999,0,4,0
g17-G3E54,2018,2,Stores,AXX,15.633,17,5,12,0.050600000000000006,0.0977,0,9,0
_s-0LQ031,2018,2,Stores,AXX,30.185,12,3,9,0.178,0.0918,-1,6,0
_s-0LQ031,2018,2,E-commerce,AXX,30.185,7,2,5,0.0109,0.0659,0,5,0
6b2JXVU81,2018,2,Stores,AXX,22.703000000000003,37,5,32,0.1464,0.026,18,3,0
oB4vvrs68,2018,2,E-commerce,AXX,22.548,6,0,6,0.0519,0.0089,0,1,0
PGK-GsQ43,2018,3,Stores,YXX,20.080000000000005,5,5,0,0.0367,0.062,0,2,0
Z169KsU12,2018,3,Stores,AXX,21.592,7,1,6,0.085,0.007,0,3,0
b9VLpvA17,2018,3,E-commerce,AXX,22.113,6,1,5,0.0439,0.0689,0,6,0
b9VLpvA17,2018,3,Stores,AXX,22.113,12,4,8,0.0716,0.093,0,5,0
aaW5Dc896,2018,3,E-commerce,AXX,23.204,10,3,7,0.0539,0.0639,0,3,0
bjtzCho93,2018,3,E-commerce,AXX,21.383,7,1,6,0.020900000000000002,0.0519,0,7,0
-Cj2BYY23,2018,3,E-commerce,AXX,17.587999999999997,8,2,6,0.0269,0.0169,0,3,0
1d_OHvY71,2018,3,Stores,YXX,14.912999999999998,6,4,2,0.079,0.036,0,5,0
__JTjmg65,2018,3,Stores,YXX,22.067999999999998,5,5,0,0.0495,0.046,0,2,0
sC6CR9s11,2018,3,Stores,YXX,15.722000000000001,3,2,1,0.074,0.0515,0,3,0
PGK-GsQ43,2018,3,E-commerce,AXX,20.080000000000005,7,3,4,0.0219,0.0369,0,7,0
1d_OHvY71,2018,3,E-commerce,AXX,14.912999999999998,6,0,6,0.0899,0.009899999999999999,0,3,0
9TvhYgg41,2018,3,Stores,AXX,22.763999999999996,137,68,69,0.6951999999999999,0.1644,0,25,67
3ISiz2Q52,2018,3,Stores,AXX,24.283,36,8,28,0.1747,0.01,12,4,6
U6Od7aY76,2018,3,Stores,YXX,24.478,6,5,1,0.1522,0.07390000000000001,0,3,0
3jHlU6w33,2018,3,E-commerce,AXX,25.613,5,3,2,0.089,0.024900000000000002,0,7,8
oRAankI44,2018,3,Stores,AXX,19.442,45,20,25,0.36460000000000004,0.0351,4,14,0
oRAankI44,2018,3,E-commerce,AXX,19.442,4,3,1,0.07390000000000001,0.0349,0,7,0
JoQ7vPE66,2018,3,Stores,YXX,19.714999999999996,8,2,6,0.0341,0.0358,0,7,0
mGOdPGw17,2018,3,Stores,AXX,14.532,12,6,6,0.40840000000000004,0.1883,0,9,0
apMQgk887,2018,3,Stores,AXX,21.082,10,3,7,0.0536,0.1064,0,7,0
CCuyJXo47,2018,3,Stores,AXX,13.289,220,55,165,0.7456999999999999,0.3861,54,86,51
CCuyJXo47,2018,3,Stores,YXX,13.289,4,1,3,0.1298,0.0747,0,9,0
CCuyJXo47,2018,3,E-commerce,AXX,13.289,11,1,10,0.0199,0.0779,0,9,0
dQRrOcs21,2018,3,E-commerce,AXX,14.803,13,1,12,0.0499,0.0169,0,6,0
sB1o9-c20,2018,3,E-commerce,AXX,25.413,5,2,3,0.0119,0.0609,0,6,0
bjbkqqM42,2018,3,E-commerce,AXX,15.753000000000002,8,1,7,0.0269,0.0109,0,7,0
2kYhNMY10,2018,3,Stores,YXX,20.270000000000003,7,7,0,0.2234,0.0625,0,3,0
UVHzi7g60,2018,3,Stores,AXX,18.703000000000003,256,76,180,0.9202,0.4576,97,131,0
bjbkqqM42,2018,3,Stores,YXX,15.753000000000002,4,2,2,0.0603,0.0859,0,2,0
VpylCPs88,2018,3,Stores,AXX,19.313,25,6,19,0.1611,0.0717,4,5,8
rX406Qs15,2018,3,Stores,YXX,18.323,6,1,5,0.0647,0.089,0,0,0
-R40flg54,2018,3,Stores,YXX,26.583000000000002,5,3,2,0.0451,0.0477,0,6,0
9O8RTHY72,2018,3,Stores,AXX,14.743,140,79,61,0.82105,0.5773,0,212,0
9O8RTHY72,2018,3,Stores,YXX,14.743,10,9,1,0.1767,0.1522,0,20,0
9O8RTHY72,2018,3,E-commerce,AXX,14.743,5,4,1,0.0839,0.0869,0,13,0
tqRVQnc11,2018,3,Stores,AXX,31.285,7,1,6,0.04,0.038,0,1,0
xAcRsc449,2018,3,E-commerce,AXX,18.642,4,2,2,0.07390000000000001,0.0119,0,3,0
XgGS-Gw29,2018,3,Stores,YXX,18.007000000000005,5,2,3,0.1314,0.0795,0,10,0
XgGS-Gw29,2018,3,E-commerce,AXX,18.007000000000005,7,1,6,0.0499,0.0059,0,10,0
EyOuFLQ88,2018,3,Stores,AXX,21.803,16,10,6,0.7352000000000001,0.1016,3,5,0
EyOuFLQ88,2018,3,E-commerce,AXX,21.803,6,4,2,0.0149,0.0539,0,2,0
Z_RUZOk26,2018,3,Stores,YXX,14.137000000000002,6,4,2,0.057,0.0517,0,8,0
3qXlQhc28,2018,3,E-commerce,AXX,20.723,5,0,5,0.0309,0.07390000000000001,0,8,0
S-Zd--o39,2018,3,Stores,AXX,16.641,123,25,98,0.9796,0.4766,0,22,72
bjbkqqM42,2018,3,Stores,AXX,15.753000000000002,35,17,18,0.48350000000000004,0.1527,5,17,0
S-Zd--o39,2018,3,Stores,YXX,16.641,7,5,2,0.3143,0.1111,0,3,0
rHDFINE51,2018,3,E-commerce,AXX,21.972,5,3,2,0.0879,0.0919,0,5,0
FWsr2ZE11,2018,3,Stores,AXX,15.903,11,5,6,0.1971,0.1282,0,8,0
Fr3MLuI86,2018,3,Stores,YXX,20.503,10,7,3,0.08760000000000001,0.0943,0,12,0
Fr3MLuI86,2018,3,E-commerce,AXX,20.503,10,2,8,0.0419,0.0599,0,8,0
O3nnJHE47,2018,3,Stores,YXX,17.235,8,3,5,0.07919999999999999,0.0478,0,7,0
J0vg7Tw34,2018,3,Stores,AXX,17.945,37,15,22,0.4489,0.20729999999999998,0,31,14
J0vg7Tw34,2018,3,Stores,YXX,17.945,5,5,0,0.1115,0.0309,0,4,0
vetlhJU57,2018,3,E-commerce,AXX,17.008000000000003,9,3,6,0.0839,0.1009,0,10,0
7rnc4zQ74,2018,3,E-commerce,AXX,20.407,5,4,1,0.0169,0.0899,0,5,0
Ln__EG879,2018,3,E-commerce,AXX,20.003999999999998,5,1,4,0.0379,0.1009,0,3,0
E9ryGxE18,2018,3,Stores,AXX,19.101999999999997,28,4,24,0.1663,0.07139999999999999,0,11,0
E9ryGxE18,2018,3,Stores,YXX,19.101999999999997,5,0,5,0.039,0.009,0,2,0
E9ryGxE18,2018,3,E-commerce,AXX,19.101999999999997,6,2,4,0.0349,0.0159,0,4,0
-5Wye2w71,2018,3,E-commerce,AXX,18.563,5,0,5,0.028900000000000002,0.0139,0,6,0
-R40flg54,2018,3,E-commerce,AXX,26.583000000000002,7,4,3,0.0589,0.0809,0,9,0
JoQ7vPE66,2018,3,Stores,AXX,19.714999999999996,229,56,173,0.7308,0.45919999999999994,55,48,84
g8_qmSM87,2018,3,Stores,YXX,21.593000000000004,11,11,0,0.1469,0.0988,0,3,0
U5O7TuQ23,2018,3,Stores,YXX,16.813,7,5,2,0.0838,0.0795,0,9,0
U5O7TuQ23,2018,3,E-commerce,AXX,16.813,9,1,8,0.0119,0.07390000000000001,0,10,0
AFv2dWk89,2018,3,Stores,AXX,16.616999999999997,59,31,28,0.93415,0.54225,0,92,20
erHDp4064,2018,3,E-commerce,AXX,17.843,9,2,7,0.0299,0.0489,0,2,0
UTGzbT076,2018,3,Stores,YXX,19.362,5,0,5,0.055,0.047,0,4,0
y0oqTGk42,2018,3,E-commerce,AXX,23.962999999999997,11,1,10,0.0799,0.0189,0,5,0
qipBMZo84,2018,3,Stores,AXX,18.659,197,66,131,0.542975,0.2034,66,21,0
qipBMZo84,2018,3,Stores,YXX,18.659,16,11,5,0.3266,0.0218,0,5,0
arqBIlY23,2018,3,Stores,AXX,16.798000000000002,35,8,27,0.376,0.0575,17,6,0
arqBIlY23,2018,3,E-commerce,AXX,16.798000000000002,3,0,3,0.0749,0.0659,0,4,0
ABcsSqo12,2018,3,Stores,AXX,16.831999999999997,115,11,104,0.3084,0.0893,44,10,44
lBhHOTk43,2018,3,Stores,YXX,21.612,15,14,1,0.2936,0.12789999999999999,0,7,0
WAIAdNA48,2018,3,E-commerce,AXX,22.012,12,1,11,0.0859,0.0669,0,3,0
U5O7TuQ23,2018,3,Stores,AXX,16.813,109,44,65,0.9623999999999999,0.2966,0,59,0
JEO5Tdk94,2018,3,Stores,YXX,24.281,10,6,4,0.0629,0.0849,0,4,0
gKS8PzM77,2018,3,Stores,AXX,15.912999999999997,165,50,115,0.7234,0.43920000000000003,46,84,0
gKS8PzM77,2018,3,Stores,YXX,15.912999999999997,9,6,3,0.1328,0.0499,0,6,0
gKS8PzM77,2018,3,E-commerce,AXX,15.912999999999997,7,2,5,0.038900000000000004,0.0519,0,5,0
OBLNQPY29,2018,3,Stores,YXX,17.928999999999995,8,4,4,0.0961,0.0907,0,5,0
uuDgKao91,2018,3,Stores,AXX,14.657999999999998,123,8,115,0.2983,0.08879999999999999,0,15,107
YAMo2k069,2018,3,Stores,AXX,21.923000000000002,11,8,3,0.3526,0.11610000000000001,0,21,0
1P61FwU29,2018,3,E-commerce,AXX,21.844,4,4,0,0.0339,0.0849,0,2,0
kHksQbM68,2018,3,Stores,YXX,19.268,8,6,2,0.3049,0.15050000000000002,0,6,0
CWZl3zg61,2018,3,Stores,YXX,14.572999999999999,6,4,2,0.046,0.065,0,0,0
WSqOy9k37,2018,3,Stores,AXX,21.817,211,22,189,0.40719999999999995,0.0499,98,5,75
XebtiUQ79,2018,3,Stores,AXX,14.372999999999998,41,7,34,0.10300000000000001,0.0528,0,6,0
